postal_code,city,state,Fri_p0.95,Mon_p0.95,Sat_p0.95,Sun_p0.95,Thu_p0.95,Tue_p0.95,Wed_p0.95,Total P95
32926,Brevard County,FL,8.0,0.0,8.0,,8.0,8.0,8.0,8.0
V5H 2A1,Burnaby,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6Y 2C6,Richmond,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5G 3G1,Burnaby,BC,,,,,,,,
V5G 4T1,Burnaby,BC,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
V6C 2G3,Vancouver,BC,11.3,11.3,16.0,16.0,11.3,11.3,11.3,16.0
V6Z 1M5,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3J 3P8,Coquitlam,BC,9.0,10.0,9.0,,9.0,10.0,9.0,10.0
32836,ORLANDO,FL,0.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0
V6Z 1W2,Vancouver,BC,7.3,7.3,7.3,0.0,7.3,7.3,7.3,7.3
V3B 1C1,Coquitlam,BC,16.0,16.0,,,16.0,16.0,16.0,16.0
V6S 1C9,Vancouver,BC,,,,,,,,
V5H 4G9,Burnaby,BC,8.0,8.0,9.0,,8.0,8.0,8.0,9.0
V5T 3B8,Vancouver,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
V6A 2V7,Vancouver,BC,20.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0
45322,Englewood,OH,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
97267,Milwaukee,OR,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V5V 1M6,Vancouver,BC,9.0,,,,9.0,,9.0,9.0
V5Z 1H2,Vancouver,BC,9.0,0.0,9.0,,10.0,9.0,9.0,10.0
V7H 1S6,North Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V4K 2P7,Delta,BC,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
30288,CONLEY,GA,7.0,0.0,7.0,,7.0,7.0,7.0,7.0
30067,Marietta,GA,12.0,12.0,12.0,13.0,12.3,12.3,13.3,12.3
34714,Clermont,FL,12.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0
78732,Austin,TX,15.0,11.0,14.0,13.0,15.0,15.0,15.0,15.0
78738,Austin,TX,14.0,14.0,12.0,16.0,15.0,14.3,15.0,14.3
78742,Austin,TX,12.0,8.3,12.0,12.0,12.0,12.0,12.0,12.0
